season,plays,off_epa_per_play,off_early_epa_per_play,off_success_rate_pct,def_epa_per_play,def_early_epa_per_play,def_success_rate_pct,proe_pct_points,Tm,Coaches,OSRS,DSRS,SRS,PF,PA,PD
2000,1529.0,-0.0061814445070922,-0.0938806608319282,0.2910398953564421,-0.1178203150629997,-0.1423007845878601,0.2308259587020649,-5.6296916,Tennessee Titans*,Fisher,1.5,6.8,8.3,346,191,155
2001,1354.0,0.0183143243193626,-0.0407650806009769,0.2865583456425406,0.0516455471515655,0.036406323313713,0.2942061700526712,-1.7040193,Tennessee Titans,Fisher,2.4,-4.4,-2.0,336,388,-52
2002,1525.0,0.0283646527677774,-0.0244267787784338,0.3324590163934426,-0.006947596091777,-0.0023558721877634,0.2933968686181075,-3.198585,Tennessee Titans*,Fisher,1.6,0.1,1.8,367,324,43
2003,1492.0,0.0412218682467937,-0.0123353982344269,0.3056300268096514,-0.0418245755136013,-0.0886225774884224,0.2737430167597765,-1.5898347,Tennessee Titans*,Fisher,7.0,-0.5,6.5,435,324,111
2004,1396.0,0.0016264922451227,0.02262794226408,0.3001432664756447,0.0802006423473358,0.092427872121334,0.3110599078341013,1.9961417,Tennessee Titans,Fisher,0.3,-4.6,-4.4,344,439,-95
2005,1358.0,-0.0622215569019317,-0.057765070348978,0.2886597938144329,0.0388202145695686,0.0446856208145618,0.3097826086956521,3.1685889,Tennessee Titans,Fisher,-2.0,-5.5,-7.6,299,421,-122
2006,1267.0,-0.0414889007806777,-0.0986166298389434,0.2651933701657458,0.0254243034869432,0.0733995288610458,0.3260869565217391,-4.754582,Tennessee Titans,Fisher,1.0,-2.3,-1.3,324,400,-76
2007,1397.0,-0.0473650321364402,-0.0595174804329872,0.317108088761632,-0.0479336865246295,-0.1165769696235656,0.2850909090909091,-5.348295,Tennessee Titans*,Fisher,-2.9,3.6,0.7,301,297,4
2008,1366.0,-0.0041120243258774,-0.0285735074430704,0.3045387994143484,-0.1059061884880065,-0.0929658263921737,0.2830188679245283,-1.9431025,Tennessee Titans*,Fisher,1.5,7.5,8.9,375,234,141
2009,1286.0,0.0207508523017168,-0.052452877163887,0.2970451010886469,0.0593446120619773,0.0229323245584964,0.3251088534107402,-4.587093,Tennessee Titans,Fisher,0.9,-3.6,-2.8,354,402,-48
2010,1237.0,0.0156287178397178,-0.0300362631678581,0.2611156022635408,0.0034443617332726,-0.0210841950029134,0.3214285714285714,0.11982024,Tennessee Titans,Fisher,-0.9,1.9,1.0,356,339,17
2011,1305.0,-0.0076351673342287,-0.0846299082040786,0.2789272030651341,-0.0132143143564462,-0.0084525840356946,0.3089605734767025,1.5950143,Tennessee Titans,Munchak,-2.2,1.2,-1.0,325,317,8
2012,1307.0,-0.0748940557241439,-0.1302975267171859,0.2716143840856924,0.0465496480464935,0.0620401166379451,0.3473909935668334,0.25851727,Tennessee Titans,Munchak,-2.6,-7.4,-10.0,330,471,-141
2013,1358.0,0.0107530420646071,-0.0441792979836463,0.3055964653902798,0.0302658192813396,0.0451966486871242,0.3188191881918819,-7.778275,Tennessee Titans,Munchak,-0.2,-0.6,-0.8,362,381,-19
2014,1257.0,-0.1061028689146041,-0.0691645517945289,0.2752585521081941,0.0526461228728294,0.046601690351963,0.3211781206171108,-3.2444954,Tennessee Titans,Whisenhunt,-7.0,-4.9,-11.8,254,438,-184
2015,1299.0,-0.0874593779444694,-0.0575277023017406,0.2979214780600462,0.0203579869121313,0.0196100417524576,0.3189720332577475,-3.4493148,Tennessee Titans,"Mularkey,Whisenhunt",-5.9,-4.6,-10.5,299,423,-124
2016,1352.0,0.0045566372573375,-0.0097146872431039,0.3284023668639053,0.0042179282754659,0.0428172498941421,0.3151382823871906,-9.100956,Tennessee Titans,Mularkey,0.7,-1.7,-1.0,381,378,3
2017,1470.0,-0.0396031960844993,-0.0816228911280632,0.2931972789115646,-0.0057377838529646,-0.0057820193469524,0.3231667748215444,-3.893444,Tennessee Titans*,Mularkey,-2.0,-1.5,-3.5,334,356,-22
2018,1250.0,-0.0224901363253593,-0.0278494693338871,0.3136,-0.0215936414897441,0.0025817432906478,0.3216730038022813,-9.845159,Tennessee Titans,Vrabel,-3.2,3.5,0.2,310,303,7
2019,1515.0,0.0298471599817276,0.0833062082529068,0.3161716171617161,-0.0313611254096031,-0.0218490399420261,0.3317013463892289,-8.4238205,Tennessee Titans*,Vrabel,1.8,1.7,3.4,402,331,71
2020,1424.0,0.1211799979209899,0.1557427048683166,0.3637640449438202,0.0881211012601852,0.0872890129685401,0.3691045796308954,-12.07265,Tennessee Titans*,Vrabel,4.7,-3.1,1.6,491,439,52
2021,1539.0,-0.0039696167223155,-0.0110902339220047,0.3190383365821962,-0.0447901077568531,-0.0192626006901264,0.3166894664842681,-8.459801,Tennessee Titans*,Vrabel,1.8,1.6,3.4,419,354,65
2022,1327.0,-0.0661586374044418,-0.0530340485274791,0.2946495855312736,-0.009191813878715,0.0129199307411909,0.3072122052704576,-5.4998994,Tennessee Titans,Vrabel,-4.7,1.1,-3.6,298,359,-61
2023,1351.0,-0.0313308127224445,-0.0249901358038187,0.2768319763138416,0.0332624465227127,0.0106221577152609,0.3243816254416961,-5.9146585,Tennessee Titans,Vrabel,-4.0,0.7,-3.2,305,367,-62
2024,1384.0,-0.0896223112940788,-0.1117428317666053,0.2998554913294797,0.0377610884606838,-0.0179735645651817,0.3234421364985163,-9.304386,Tennessee Titans,Callahan,-4.7,-3.7,-8.4,311,460,-149
